"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12673","Verifikasi Footer Media Facebook","chromium","Mon May 05 10:43:51 WIB 2025","passed","Mon May 05 10:44:04 WIB 2025","","agencies.spec.js","",""
"","5685","Mengubah Bahasa china","chromium","Mon May 05 10:43:36 WIB 2025","passed","Mon May 05 10:43:42 WIB 2025","","agencies.spec.js","",""
"","1861","Memeriksa ikon media sosial di halaman https://agencies-dev.pelni.co.id/en/service/FULL%20PORT%20AGENCY","chromium","Mon May 05 10:44:10 WIB 2025","passed","Mon May 05 10:44:11 WIB 2025","","agencies.spec.js","",""
"","4623","Memeriksa ikon media sosial di halaman https://agencies-dev.pelni.co.id/en/service/SUB%20AGENCY","chromium","Mon May 05 10:44:05 WIB 2025","passed","Mon May 05 10:44:10 WIB 2025","","agencies.spec.js","",""
"","3269","Memeriksa ikon media sosial di halaman https://agencies-dev.pelni.co.id/en/make-enquiry","chromium","Mon May 05 10:44:12 WIB 2025","passed","Mon May 05 10:44:15 WIB 2025","","agencies.spec.js","",""
"","8171","Mengubah Bahasa Francis","chromium","Mon May 05 10:43:36 WIB 2025","passed","Mon May 05 10:43:45 WIB 2025","","agencies.spec.js","",""
"","7155","Mengecek Jumlah Count Card/Grids Pada Halaman Artikel","chromium","Mon May 05 10:44:15 WIB 2025","passed","Mon May 05 10:44:23 WIB 2025","","agencies.spec.js","",""
"","13081","Verifikasi Footer Media Instagram","chromium","Mon May 05 10:43:47 WIB 2025","passed","Mon May 05 10:44:00 WIB 2025","","agencies.spec.js","",""
"","5782","Memeriksa ikon media sosial di halaman https://agencies-dev.pelni.co.id/en/service/Introduce%20One%20Enterprise%20Good%20Products%20Pelni%20Surya%20Dockyard","chromium","Mon May 05 10:44:10 WIB 2025","passed","Mon May 05 10:44:15 WIB 2025","","agencies.spec.js","",""
"","9461","Verifikasi semua elemen menggunakan font-lato","chromium","Mon May 05 10:44:23 WIB 2025","failed","Mon May 05 10:44:32 WIB 2025","","agencies.spec.js","",""
"","7521","Memverifikasi Marker Maps Cabang Ketika DiHover Muncul Detailnya","chromium","Mon May 05 10:44:15 WIB 2025","passed","Mon May 05 10:44:23 WIB 2025","","agencies.spec.js","",""
"","4086","Mengecek Jumlah Count Card/Grids Pada Halaman Siaran Pers","chromium","Mon May 05 10:44:22 WIB 2025","passed","Mon May 05 10:44:26 WIB 2025","","agencies.spec.js","",""
"","8592","Verifikasi Footer Media Email","chromium","Mon May 05 10:43:56 WIB 2025","failed","Mon May 05 10:44:04 WIB 2025","","agencies.spec.js","",""
